iter	Passed	Remaining
775	1292	373
776	1294	371
777	1295	369
778	1297	368
779	1298	366
780	1299	364
781	1301	362
782	1302	361
783	1303	359
784	1305	357
785	1306	355
786	1307	353
787	1309	352
788	1310	350
789	1312	348
790	1315	347
791	1316	345
792	1318	344
793	1319	342
794	1320	340
795	1322	338
796	1323	337
797	1324	335
798	1325	333
799	1327	331
800	1328	330
801	1330	328
802	1331	326
803	1332	324
804	1333	323
805	1335	321
806	1336	319
807	1338	318
808	1339	316
809	1341	314
810	1342	312
811	1343	311
812	1345	309
813	1346	307
814	1347	305
815	1349	304
816	1350	302
817	1351	300
818	1353	299
819	1354	297
820	1355	295
821	1356	293
822	1358	292
823	1359	290
824	1360	288
825	1362	286
826	1363	285
827	1364	283
828	1366	281
829	1367	280
830	1369	278
831	1370	276
832	1371	275
833	1373	273
834	1374	271
835	1376	269
836	1377	268
837	1379	266
838	1380	264
839	1382	263
840	1383	261
841	1384	259
842	1386	258
843	1387	256
844	1388	254
845	1390	253
846	1391	251
847	1392	249
848	1394	248
849	1396	246
850	1397	244
851	1398	242
852	1399	241
853	1401	239
854	1402	237
855	1403	236
856	1405	234
857	1406	232
858	1408	231
859	1409	229
860	1410	227
861	1411	226
862	1413	224
863	1414	222
864	1415	220
865	1417	219
866	1418	217
867	1419	215
868	1421	214
869	1422	212
870	1423	210
871	1425	209
872	1426	207
873	1428	205
874	1430	204
875	1431	202
876	1432	200
877	1433	199
878	1435	197
879	1436	195
880	1437	194
881	1438	192
882	1440	190
883	1441	189
884	1442	187
885	1443	185
886	1445	184
887	1446	182
888	1448	180
889	1449	179
890	1451	177
891	1452	175
892	1453	174
893	1454	172
894	1456	170
895	1457	169
896	1459	167
897	1460	165
898	1462	164
899	1463	162
900	1464	160
901	1466	159
902	1467	157
903	1469	156
904	1471	154
905	1472	152
906	1473	151
907	1475	149
908	1476	147
909	1478	146
910	1480	144
911	1481	142
912	1483	141
913	1484	139
914	1486	138
915	1487	136
916	1488	134
917	1490	133
918	1491	131
919	1492	129
920	1493	128
921	1495	126
922	1497	124
923	1499	123
924	1500	121
925	1501	120
926	1502	118
927	1504	116
928	1505	115
929	1507	113
930	1508	111
931	1509	110
932	1511	108
933	1512	106
934	1513	105
935	1514	103
936	1516	101
937	1517	100
938	1518	98
939	1519	97
940	1521	95
941	1522	93
942	1523	92
943	1524	90
